anio_hecho;mes_hecho;dia_hecho;hora_hecho;minuto_hecho;fecha_hecho;edad;feminicidio;grupo_feminicidio;modalidad;estado_civil;grupo_armado;grupo_caracterizacion;medio_transporte;nivel_academico;ocupacion;sexo;comuna_hecho;codigo_barrio_hecho;codigo_comuna_hecho;barrio_hecho
2016;6;26;4;50;26/6/2016;24;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;Bachillerato;Estudiante;Masculino;La Candelaria;1016;10;Boston
2016;6;27;4;0;27/6/2016;16;Pareja;Si;Tóxico o agente químico;Unión marital de hecho;NA;Violencia de género;Caminata;Primaria;Ama de casa;Femenino;Altavista;AE5;70;Área de expansión Altavista
2016;6;28;17;13;28/6/2016;27;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Automóvil;NA;Comerciante;Masculino;Aranjuez;0408;04;San Pedro
2016;6;28;22;50;28/6/2016;30;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;Primaria;Oficial construcción;Masculino;Robledo;0722;07;Olaya Herrera
2016;6;29;23;51;29/6/2016;36;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Taxi;NA;Taxista;Masculino;San Javier;1306;13;La Pradera
2016;6;30;23;30;30/6/2016;39;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Taxi;NA;NA;Masculino;Castilla;0507;05;Héctor Abad Gómez
2016;6;30;23;35;30/6/2016;24;No aplica;No aplica;Arma de fuego;NA;NA;En proceso de categorización;NA;NA;NA;Masculino;La América;1205;12;La Floresta
2016;7;1;0;10;1/7/2016;21;No aplica;No aplica;Cortopunzante;NA;NA;Convivencia;Caminata;NA;Reciclador;Masculino;Aranjuez;0405;04;Moravia
2016;7;1;22;51;1/7/2016;42;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Convivencia;Caminata;Primaria;Operario;Masculino;San Javier;1314;13;Las Independencias
2016;7;1;23;1;1/7/2016;32;No aplica;No aplica;Arma de fuego;Soltero;NA;Grupos Delincuenciales Organizados;Motocicleta;Bachillerato;Mecánico automotriz;Masculino;Popular;0106;01;Villa Guadalupe
2016;7;2;14;30;2/7/2016;43;No aplica;No aplica;Arma de fuego;NA;NA;En proceso de categorización;NA;NA;Electricista;Masculino;Robledo;0724;07;Monteclaro
2016;7;2;16;15;2/7/2016;50;No aplica;No aplica;Arma de fuego;Casado;NA;Grupos Delincuenciales Organizados;Taxi;Bachillerato;Taxista;Masculino;Doce de Octubre;0606;06;San Martín de Porres
